Country Name,GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),,Consumer price index (2010 = 100)
Cote d'Ivoire,70018715017,5.276167243,2.749999998,..,..,24.8438275,27.49184412,623.7597009,2.283840468,6.741330002,2486.412194,,
Croatia,71600049650,10.78058068,9.463284953,6.96,..,59.16616772,65.35149943,7.1597415,5.012888611,6.347114542,18570.404,,
Cuba,..,..,14.15540196,..,..,40.01390498,48.78913202,..,..,1.774853995,..,,
Curacao,3075180835,..,4.040684992,..,..,..,..,1.79,5.334819559,7.89,20501.75228,,
Cyprus,29250524418,8.39548298,6.065631484,6.807,..,95.03771106,94.71974655,..,1.641662561,5.058130191,32048.24023,,
Czechia,2.91E+11,15.10016515,8.547350789,2.224,-3.981987197,76.45232425,75.47073397,23.357,3.623873195,2.35100354,27226.61564,,
Denmark,4.00E+11,7.696566999,8.066962466,4.434,..,70.01238944,58.91727459,7.076151863,8.549611138,2.731174454,67790.05399,,
Djibouti,3515108860,5.17980848,0.67350642,..,..,169.0004565,171.1935582,177.721,5.320542125,3.123833114,3136.112768,,
Dominica,607440740.7,..,3.547519206,..,2.887053758,..,..,2.7,2.906254351,5.648324756,8351.193213,,
Dominican Republic,1.14E+11,8.811092093,10.71415565,5.504,1.025970295,22.06273154,32.16879402,55.14099167,3.489247693,4.858324036,10111.24571,,
Ecuador,1.15E+11,3.466169722,5.264812773,3.761,..,29.17187993,28.51838369,1,0.734512518,2.947668633,6391.282484,,
"Egypt, Arab Rep.",4.77E+11,13.89566098,10.42578924,..,0.142669652,15.08702582,21.89607906,19.16043974,2.39118081,6.587845609,4295.407496,,
El Salvador,32488720000,7.198616156,7.518481672,2.999,..,31.17792883,55.62065849,1,-0.001196436,2.599653378,5127.321668,,
Equatorial Guinea,12029633747,4.786717047,7.71239947,..,..,51.79558629,35.7242488,623.7597009,3.811503431,3.78004646,7182.265382,,
Eritrea,..,..,..,..,..,..,..,15.075,..,..,..,,
Estonia,38100812959,19.39826341,16.56357881,5.571,..,85.50182238,86.06565848,..,4.322554718,-1.287411341,28247.09599,,
Eswatini,4790922066,..,8.794316769,..,-0.270525867,43.83116256,47.59182106,16.36228306,0.27865718,0.476444949,3986.886637,,
Ethiopia,1.27E+11,33.88987971,34.68400997,..,..,8.245048589,18.32178705,51.75621503,2.894692254,5.31709603,1027.585911,,
Faroe Islands,3555929833,..,3.889042127,..,..,62.39811146,62.51455551,..,..,5.398480389,66979.27732,,
Fiji,4979979546,4.520192664,2.472562879,..,2.887920559,48.07277523,69.18659497,2.201406987,2.079960181,20.01646368,5356.164396,,
Finland,2.83E+11,7.123507733,5.358117179,6.719,..,45.33867837,47.73202291,..,4.727991562,1.634310103,50871.93045,,
France,2.78E+12,5.222367484,2.947216929,7.308,..,34.68639972,38.56345288,..,3.793503383,2.454758177,40886.25327,,
French Polynesia,5814661209,..,1.793611049,..,..,21.09682259,46.13414366,113.4743672,-0.163041358,4.46607459,18984.8511,,
Gabon,21071739225,4.231247983,13.92151396,..,..,61.38385113,16.6046561,623.7597009,5.242054428,2.908043413,8820.347337,,
"Gambia, The",2187194563,11.51311984,10.41910335,..,..,4.56965741,30.76805601,54.92346736,10.58378637,4.33173288,808.2782815,,
Georgia,24780791064,11.89816542,9.097221056,..,4.17802021,52.91042459,62.72817891,2.9162,8.601175737,10.39349316,6674.95696,,
Germany,4.08E+12,6.872574386,5.268325424,3.135,..,50.92392973,48.95641004,..,1.160447552,1.806208967,48717.99114,,
Ghana,73766052452,31.2558951,28.22364244,..,..,34.89773954,35.69041647,8.2724,2.048194268,3.077730556,2203.558935,,
Gibraltar,..,..,..,..,..,..,..,0.811301716,..,..,..,,
Greece,2.18E+11,9.645259813,7.846844744,12.426,..,49.13682964,58.85997439,..,3.652881984,5.55728708,20867.26909,,
Greenland,..,..,..,..,..,..,..,..,..,..,..,,
Grenada,1215379156,2.559789119,1.771484756,..,4.585661941,..,..,2.7,12.85479995,6.361209964,9689.0827,,
Guam,..,..,..,..,..,..,..,..,..,..,..,,
Guatemala,95003330316,6.885128233,6.224303487,3.051,5.365090342,19.01553956,35.65441758,7.74824375,1.459651631,4.118004169,5473.208564,,
Guinea,20999229260,10.493041,10.992149,..,..,43.67019256,63.80746759,..,3.134876961,4.7,1515.167948,,
Guinea-Bissau,1633559092,9.393838775,8.351497183,..,..,..,..,623.7597009,1.343133836,3.500049592,775.8289657,,
Guyana,14718388489,6.115055501,12.0372611,..,-3.231598484,..,..,208.5,2.990204848,63.36843896,18199.47484,,
Haiti,20253551885,33.98393195,30.20129187,..,..,7.238760114,29.29079017,115.6307155,0.194598953,-1.681983975,1748.257132,,
Honduras,31717699764,9.089639115,9.145801515,7.037,5.003613416,41.91669813,69.15638428,24.48587373,2.392984369,3.997949815,3040.173046,,
"Hong Kong SAR, China",3.60E+11,1.881367072,1.810447792,4.318,3.235148205,193.8611009,189.9297953,7.831416667,34.01745081,-3.476329865,48983.62172,,
Hungary,1.77E+11,14.60814395,14.48927895,3.609,-3.348651972,91.20825684,95.51565724,372.5958333,-5.771591916,4.554556642,18390.185,,
Iceland,28064529851,8.308755116,8.919407963,3.789,-1.213839878,46.58414981,46.98581604,135.279902,4.350204108,7.23808934,73466.77867,,
India,3.42E+12,6.699034141,8.225869499,4.822,0.315334365,22.78688201,26.4428201,78.60449058,1.461675015,7.239693281,2410.888021,,
Indonesia,1.32E+12,4.209463834,9.567844361,3.462,-0.956342956,24.49244937,20.90085603,14849.85394,1.872642376,5.308595005,4787.999308,,
"Iran, Islamic Rep.",4.13E+11,43.48846417,50.58524806,9.085,..,26.81588655,24.78162026,..,0.362762912,3.776631402,4669.57138,,
Iraq,2.64E+11,4.994765964,18.86809624,..,..,..,..,1450,-0.790439404,7.008745223,5937.195466,,
Ireland,5.33E+11,7.80737541,6.582264283,4.479,..,137.0877814,97.17957143,..,-0.356166967,9.43302211,103983.2913,,
Isle of Man,..,..,..,..,..,..,..,0.811301716,..,..,..,,
Israel,5.25E+11,4.393596659,4.623307217,3.695,-1.591548583,31.72837991,28.77597565,3.359614402,4.386874786,6.832886636,54930.93881,,
Italy,2.05E+12,8.201289912,2.976400562,8.069,-0.69136769,36.63029313,38.14658477,..,3.060310722,3.724549463,34776.42323,,
Jamaica,17097760724,10.34956884,12.79780039,..,-1.234776194,..,..,153.4268165,1.864197336,5.221519847,6047.216457,,
Japan,4.26E+12,2.497702782,0.333979877,2.6,..,21.54172312,25.30200902,131.4981404,1.157755629,0.954736938,34017.27181,,
Jordan,48653381781,4.229155689,2.600533705,..,4.646954023,..,..,0.71,2.337026147,2.428073345,4311.000046,,
Kazakhstan,2.25E+11,..,19.76900648,4.86,..,41.78127711,26.33234901,460.165,2.184781864,3.2,11492.03194,,
Kenya,1.13E+11,7.656874561,6.008764133,..,5.968446875,12.21524288,21.51430769,117.8659892,0.34701381,4.846634856,2099.301938,,
Kiribati,223353014.3,..,4.635694339,..,..,9.627329193,96.27329193,1.441664459,1.295766768,1.5625,1701.970665,,
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,..,..,,
"Korea, Rep.",1.67E+12,5.087887608,1.275522574,2.857,2.978979865,48.27176422,48.26464507,1291.446667,1.075083514,2.612672192,32422.57449,,
Kosovo,9409473518,11.58051045,6.724004603,12.093,..,38.45081627,71.06324103,0.950915534,8.121201573,5.218604213,5340.268798,,
Kuwait,1.75E+11,3.98064962,19.04554135,..,-12.71174559,..,..,0.306250154,0.428969719,8.860759494,41079.5227,,
Kyrgyz Republic,11543966559,13.92290932,16.65166027,..,1.725911441,..,..,84.11622257,0.475131314,6.33175292,1655.072698,,
Lao PDR,15468785204,22.95622251,15.77394592,1.209,..,..,..,14035.22669,4.110259905,2.707426526,2054.430781,,
Latvia,40932030050,17.31028302,12.76824842,6.815,..,71.98617145,76.51589291,..,2.838095102,3.358473954,21779.50426,,
Lebanon,..,171.2054913,..,..,..,..,..,1507.5,..,..,..,,
