Country Name,GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),,Consumer price index (2010 = 100)
West Bank and Gaza,19111900000,3.741223919,1.544411888,24.42,..,18.54185089,67.35907994,..,1.218827862,3.93297696,3789.327966,,
"Yemen, Rep.",..,..,..,..,..,..,..,1114.292841,..,..,650.2722184,,
Zambia,29163782138,10.99320392,6.101594722,5.993,..,40.19399771,29.10331771,16.93759433,-0.223286755,5.249622298,1456.90157,,
Zimbabwe,27366627153,104.7051706,264.580608,..,-36.41643898,27.95524577,37.00139511,374.9543626,1.247870255,6.522375287,1676.821489,,
Africa Eastern and Southern,1.19E+12,10.77375122,8.388182985,..,..,27.2564768,29.60749696,..,1.675504542,3.43513777,1644.062829,,
Africa Western and Central,8.75E+11,7.967573616,8.046961584,..,..,..,..,..,1.626432289,3.766353893,1785.312219,,
Arab World,3.54E+12,4.995020751,13.24153717,..,..,..,..,..,2.190303403,6.033833417,7625.252464,,
Caribbean small states,94867024972,6.115055501,3.993355285,..,..,..,..,..,1.362394657,13.21720542,12639.70462,,
Central Europe and the Baltics,1.94E+12,14.60814395,12.76824842,4.006650588,..,69.14379127,70.59273432,..,3.356723027,4.127485008,19420.96441,,
Early-demographic dividend,1.41E+13,7.198616156,7.736482323,5.447384344,..,28.55143622,29.78074106,..,1.994471328,5.640830921,4104.085948,,
East Asia & Pacific,3.07E+13,5.408743755,5.517789704,..,..,31.36294593,28.81205334,..,2.24446585,2.880870016,12930.69168,,
East Asia & Pacific (excluding high income),2.12E+13,5.518129286,5.901047115,..,..,24.82615351,22.08262418,..,1.257429195,3.414240923,9954.276857,,
East Asia & Pacific (IDA & IBRD countries),2.12E+13,5.518129286,5.638377288,..,..,24.82429298,22.06826894,..,1.257429195,3.41423025,10065.03475,,
Euro area,1.42E+13,8.471176456,5.787632077,6.745820669,..,55.39459847,53.24904806,0.949623753,0.02145902,3.372038855,40787.5643,,
Europe & Central Asia,2.53E+13,10.39089428,8.307156628,6.015452103,..,50.48165416,47.55394483,..,0.674261251,3.122196016,27536.81293,,
Europe & Central Asia (excluding high income),4.13E+12,13.85225901,12.94155005,5.886020559,..,34.72734563,28.83165505,..,-0.107923686,0.765858153,10379.77294,,
Europe & Central Asia (IDA & IBRD countries),5.19E+12,13.82387388,12.35532215,5.554826676,..,39.24580265,34.85813351,..,0.915463152,1.66035229,11342.49186,,
European Union,1.67E+13,8.833698867,6.482697503,6.147075884,..,56.31935439,54.50309742,..,0.806327582,3.445962073,37433.27845,,
Fragile and conflict affected situations,1.91E+12,9.50765743,8.445461981,..,..,..,27.80754601,..,0.908245045,1.20566114,1870.337198,,
Heavily indebted poor countries (HIPC),9.81E+11,9.621476085,8.445461981,..,..,24.65307205,33.58521842,..,3.108993965,4.566047996,1109.014261,,
High income,6.17E+13,7.17222476,5.609385286,4.636810475,..,34.2882741,34.02987207,..,1.918137908,2.785952405,49607.24655,,
IBRD only,3.78E+13,8.64091109,9.280253005,..,..,27.43325495,25.67140291,..,1.54212427,3.581985033,7682.790889,,
IDA & IBRD total,4.06E+13,8.64091109,8.307055007,..,..,26.95610878,25.9136073,..,1.547540892,3.628124186,6007.370761,,
IDA blend,1.18E+12,6.378146951,7.742425984,..,..,..,22.41680238,..,0.53740874,4.196196544,1933.556473,,
IDA only,1.65E+12,9.525266286,6.994334125,..,..,22.41592469,33.79980535,..,2.421322571,4.214885973,1337.013175,,
IDA total,2.82E+12,8.680721507,7.160850026,..,..,21.28485991,29.11770736,..,1.620621082,4.206148617,1534.023093,,
Late-demographic dividend,2.81E+13,8.518197035,9.097221056,..,..,31.22290907,26.49332698,..,1.480017857,3.173811871,12072.76719,,
Latin America & Caribbean,6.30E+12,7.713677269,6.389620666,6.963871479,..,28.22057246,29.89406964,..,3.97983496,3.888448907,9559.213456,,
Latin America & Caribbean (excluding high income),5.35E+12,8.304240602,7.518481672,6.911594349,..,27.03911261,28.96634352,..,3.271546864,3.742079117,8971.780372,,
Latin America & the Caribbean (IDA & IBRD countries),6.00E+12,7.896276192,6.719923719,6.967760018,..,28.20079161,29.91309792,..,3.552243291,3.896009718,9324.959304,,
Least developed countries: UN classification,1.42E+12,9.525266286,7.327365926,..,..,22.57608928,31.8828585,..,1.686197125,4.467929737,1266.643763,,
Low & middle income,3.88E+13,8.487308695,8.341200586,..,..,26.00789108,24.90050008,..,1.390872712,3.563509986,5811.430475,,
Low income,5.28E+11,9.950438947,8.618537169,..,..,21.77986791,36.32750454,..,3.680390378,3.412505272,750.4669425,,
Lower middle income,8.17E+12,8.306461244,7.984147741,4.681012008,..,27.81340678,32.19137253,..,1.42680725,5.201163498,2561.457576,,
Middle East & North Africa,4.43E+12,4.994765964,14.96422425,..,..,..,..,..,2.361165439,5.990386392,8973.862585,,
Middle East & North Africa (excluding high income),1.70E+12,6.657042028,14.64694274,..,..,31.13397123,31.39357257,..,0.955330912,4.235854918,3998.585763,,
Middle East & North Africa (IDA & IBRD countries),1.68E+12,7.481751636,18.86809624,..,..,31.29643385,30.96471993,..,0.952141206,4.238714139,4001.122645,,
Middle income,3.83E+13,8.290618073,8.105785734,..,..,26.08674445,24.74792213,..,1.363754226,3.565666384,6407.498324,,
North America,2.76E+13,7.402800487,7.040723092,3.833702128,..,13.51221682,17.01217348,..,1.586562572,2.079692464,74160.99677,,
Not classified,..,..,..,..,..,..,..,..,..,..,..,,
OECD members,5.98E+13,8.238032407,6.532480893,5.050955637,..,30.80096345,31.83186831,..,1.437234017,2.77355163,43476.37804,,
Other small states,5.31E+11,7.930929254,8.351497183,..,..,73.13786118,52.79913178,..,2.869642404,4.20497742,16003.09753,,
Pacific island small states,10324332232,7.102231296,5.547542528,..,..,36.89513992,65.58456025,..,1.846922701,8.216668504,3912.185639,,
Post-demographic dividend,5.62E+13,7.832691242,5.943141015,4.597225237,..,31.28971283,32.32113559,..,1.74920767,2.408632578,50482.11313,,
Pre-demographic dividend,1.62E+12,8.16059032,8.330903989,..,..,25.96562043,24.94918328,..,0.833190489,3.97994629,1558.021277,,
Small states,6.36E+11,6.276893194,6.764782276,..,..,70.11120384,53.51625615,..,2.627985935,5.633857768,14684.05791,,
South Asia,4.39E+12,7.650791768,7.776617712,4.872714458,..,20.46492314,25.93016655,..,1.250319157,6.486711863,2287.416124,,
South Asia (IDA & IBRD),4.39E+12,7.650791768,7.776617712,4.872714458,..,20.46492314,25.93016655,..,1.250319157,6.486711863,2287.416124,,
Sub-Saharan Africa,2.06E+12,9.45955253,8.341200586,..,..,26.637171,27.13807759,..,1.654574356,3.585452203,1701.245382,,
Sub-Saharan Africa (excluding high income),2.06E+12,9.45955253,8.351497183,..,..,26.56030983,27.06110834,..,1.646599934,3.580910945,1700.102181,,
Sub-Saharan Africa (IDA & IBRD countries),2.06E+12,9.45955253,8.341200586,..,..,26.637171,27.13807759,..,1.654574356,3.585452203,1701.245382,,
Upper middle income,3.01E+13,8.274774902,8.134453997,..,..,25.72018156,22.76495636,..,1.346590337,3.12328837,10814.27758,,
World,1.01E+14,7.967573616,7.346100093,..,..,31.06781023,30.46698766,..,1.715157514,3.089379125,12687.74189,,
